left,0,1,1.1,1.2,1.3
left,1,1,1,1,1
left,2,1,1,1,0
left,3,1,0,1,0
left,4,1,0,1,1
left,5,1,1,1,1
left,6,1,0,1,1
left,7,1,1,1,1
left,8,1,1,1,1
left,9,1,1,1,1
left,10,1,1,1,0
left,11,1,0,1,0
left,12,1,0,1,0
left,13,1,0,1,0
left,14,1,1,1,0
left,15,1,0,0,1
left,16,1,1,1,1
left,17,1,0,1,1
left,18,1,0,1,1
left,19,1,0,1,0
left,20,1,1,1,1
left,21,1,1,1,1
left,22,1,0,1,0
left,23,1,1,1,1
left,24,1,1,1,1
left,25,1,1,1,0
left,26,1,1,1,1
left,27,1,0,1,1
left,28,1,0,1,1
left,29,1,0,1,0
right,0,1,0,1,0
right,1,1,1,1,0
right,2,1,1,1,0
right,3,1,1,1,0
right,4,1,0,1,0
right,5,1,1,1,1
right,6,1,0,1,1
right,7,0,1,1,0
right,8,1,1,1,1
right,9,1,1,1,1
right,10,1,1,1,0
right,11,1,0,1,0
right,12,1,0,1,0
right,13,1,0,1,0
right,14,1,1,1,0
right,15,1,0,0,1
right,16,1,1,1,1
right,17,0,1,1,1
right,18,1,0,1,1
right,19,1,0,0,0
right,20,1,0,1,1
right,21,1,0,1,1
right,22,1,0,1,0
right,23,1,1,1,1
right,24,1,1,1,1
right,25,1,1,1,1
right,26,1,1,1,1
right,27,1,0,1,1
right,28,1,0,1,1
right,29,1,0,1,0
left,0,1,1,1,0
left,1,1,1,1,0
left,2,1,1,1,0
left,3,1,1,1,0
left,4,1,0,1,0
left,5,1,1,1,0
left,6,1,0,0,1
left,7,1,1,1,0
left,8,1,1,1,1
left,9,1,0,0,1
left,10,1,1,1,1
left,11,1,0,1,0
left,12,1,0,0,0
left,13,1,0,0,0
left,14,1,1,1,0
left,15,1,0,0,1
left,16,1,1,1,1
left,17,1,0,1,1
left,18,1,0,1,1
left,19,1,1,0,0
left,20,1,0,1,1
left,21,1,0,1,1
left,22,1,0,1,0
left,23,1,1,1,1
left,24,1,1,1,1
left,25,1,1,1,1
left,26,1,1,1,1
left,27,1,0,0,1
left,28,1,0,1,1
left,29,1,0,1,0
right,0,1,1,1,0
right,1,1,1,1,0
right,2,1,1,1,0
right,3,1,1,1,0
right,4,1,0,1,0
right,5,1,1,1,0
right,6,1,0,1,1
right,7,1,1,1,0
right,8,1,1,1,1
right,9,1,1,0,1
right,10,1,1,1,0
right,11,1,0,1,0
right,12,1,0,0,0
right,13,1,0,0,0
right,14,1,1,1,0
right,15,1,0,0,1
right,16,1,1,1,1
right,17,1,1,1,1
right,18,1,0,1,1
right,19,1,1,0,0
right,20,1,0,1,1
right,21,1,0,1,1
right,22,1,0,1,0
right,23,1,1,1,1
right,24,1,1,1,1
right,25,1,1,1,1
right,26,1,1,1,1
right,27,1,0,0,1
right,28,1,0,1,1
right,29,1,0,1,0
left,0,1,1,1,0
left,1,1,1,1,0
left,2,1,1,1,0
left,3,1,0,1,0
left,4,1,0,1,0
left,5,1,0,1,0
left,6,1,0,0,1
left,7,1,1,1,0
left,8,1,1,1,1
left,9,1,1,0,1
left,10,1,1,1,0
left,11,1,0,1,0
left,12,1,0,0,0
left,13,1,0,0,0
left,14,1,1,1,0
left,15,1,0,0,1
left,16,1,1,1,1
left,17,0,0,1,1
left,18,1,0,1,1
left,19,1,1,0,0
left,20,1,0,1,1
left,21,1,0,1,1
left,22,1,0,1,0
left,23,1,1,1,1
left,24,1,1,1,1
left,25,1,1,1,1
left,26,1,1,1,1
left,27,1,1,0,1
left,28,1,0,1,1
left,29,1,0,1,0
right,0,1,1,1,0
right,1,1,1,1,0
right,2,1,1,1,0
right,3,1,1,1,0
right,4,1,0,1,0
right,5,1,1,1,0
right,6,1,1,0,1
right,7,1,1,1,0
right,8,1,1,1,1
right,9,1,1,0,1
right,10,1,1,1,0
right,11,1,0,1,0
right,12,1,0,0,0
right,13,1,0,0,0
right,14,1,1,1,0
right,15,1,0,0,1
right,16,1,1,1,1
right,17,0,0,1,1
right,18,1,0,1,1
right,19,1,1,0,0
right,20,1,0,1,1
right,21,1,0,1,1
right,22,1,0,1,0
right,23,1,1,1,1
right,24,1,1,1,1
right,25,1,1,1,1
right,26,1,1,1,1
right,27,1,1,0,1
right,28,1,0,1,1
right,29,1,0,1,0
left,0,1,1,1,0
left,1,1,1,1,0
left,2,1,1,1,0
left,3,1,1,1,0
left,4,1,0,1,0
left,5,1,1,1,0
left,6,1,0,1,1
left,7,1,1,1,0
left,8,1,1,1,1
left,9,1,1,0,1
left,10,1,1,1,0
left,11,1,0,1,0
left,12,1,0,0,0
left,13,1,0,0,0
left,14,1,1,1,0
left,15,1,0,0,1
left,16,1,1,1,1
left,17,1,1,1,1
left,18,1,0,1,1
left,19,1,1,0,0
left,20,1,0,1,1
left,21,1,0,1,1
left,22,1,0,1,0
